Session,Epoch,Time,LearningRate,LossTrain,LossValid,RAM,GPU,Load_Time,Train_Time,Valid_Time,GPU_Time
1,0,999,0.0003,999,0.903129369020462,4461696,1,999,999,999,999
1,1,13.963002443313599,0.0003,0.8067638069391251,0.895684689283371,5383092,1,0.40886855125427246,12.962181091308594,0.21586132049560547,4.76837158203125e-07
1,2,4.644532203674316,0.0003,0.737404927611351,0.7626204490661621,5717236,1,0.2963597774505615,3.6540372371673584,0.3141443729400635,4.76837158203125e-07
1,3,4.573859453201294,0.0003,0.6255074590444565,0.7623687386512756,5776000,1,0.22286558151245117,3.644347906112671,0.3108944892883301,7.152557373046875e-07
1,4,4.588420867919922,0.0003,0.5128870040178299,0.7465730309486389,5887860,1,0.22519516944885254,3.670881986618042,0.3127901554107666,7.152557373046875e-07
1,5,4.62665057182312,0.0003,0.39061998426914213,0.6967721482117971,6040012,1,0.2615656852722168,3.658588409423828,0.30994415283203125,4.76837158203125e-07
1,6,4.544224500656128,0.0003,0.3095469206571579,0.3243964711825053,6115128,1,0.2179720401763916,3.638913154602051,0.3137691020965576,4.76837158203125e-07
1,7,4.54813289642334,0.0003,0.27171585857868197,0.5460280478000641,6184304,1,0.20555329322814941,3.632899761199951,0.3088107109069824,4.76837158203125e-07
1,8,4.554253339767456,0.0003,0.25340451002120973,0.2539374033610026,6216968,1,0.20720887184143066,3.6614766120910645,0.31473565101623535,4.76837158203125e-07
1,9,4.567134380340576,0.0003,0.24984621107578278,0.267789751291275,6216968,1,0.2389850616455078,3.622401714324951,0.3139026165008545,2.384185791015625e-07
1,10,4.573195219039917,0.0003,0.22815726399421693,0.2951032519340515,6236524,1,0.2323777675628662,3.6529245376586914,0.3129615783691406,4.76837158203125e-07
1,11,4.599981069564819,0.0003,0.215161594748497,0.2313213845094045,6292192,1,0.22677111625671387,3.67482328414917,0.3100144863128662,4.76837158203125e-07
1,12,4.550217628479004,0.0003,0.17935436367988586,0.2107678254445394,6326672,1,0.22287344932556152,3.641792058944702,0.3135640621185303,4.76837158203125e-07
1,13,4.5731542110443115,0.0003,0.20175662636756897,0.21444080273310342,6328504,1,0.22184228897094727,3.652674674987793,0.3113059997558594,7.152557373046875e-07
1,14,4.545884609222412,0.0003,0.20405893325805663,0.22601229945818582,6461044,1,0.18829727172851562,3.668590545654297,0.3124043941497803,2.384185791015625e-07
1,15,4.508546352386475,0.0003,0.1933608591556549,0.2931712170441945,6507064,1,0.1827995777130127,3.6349949836730957,0.31383275985717773,4.76837158203125e-07
1,16,4.53358268737793,0.0003,0.20674889981746675,0.2118929127852122,6545344,1,0.22168397903442383,3.6268627643585205,0.3152427673339844,7.152557373046875e-07
1,17,4.539902687072754,0.0003,0.1916490763425827,0.20538688699404398,6556856,1,0.20624327659606934,3.6416702270507812,0.31316709518432617,7.152557373046875e-07
1,18,4.531305313110352,0.0003,0.1754403829574585,0.20205081502596536,6568440,1,0.18694496154785156,3.6579325199127197,0.31625938415527344,4.76837158203125e-07
1,19,4.611086845397949,0.0003,0.1938982218503952,0.2089763879776001,6666348,1,0.2428584098815918,3.673964023590088,0.3193700313568115,4.76837158203125e-07
1,20,4.672283887863159,0.0003,0.17859869301319123,0.28009048104286194,6666348,1,0.33059024810791016,3.6467108726501465,0.31145310401916504,4.76837158203125e-07
1,21,4.57016396522522,0.0003,0.1714343547821045,0.23501710096995035,6666348,1,0.21038579940795898,3.6683809757232666,0.3118135929107666,4.76837158203125e-07
1,22,4.728400707244873,0.0003,0.16687646210193635,0.18129388491312662,6666348,1,0.20267558097839355,3.6575558185577393,0.3126676082611084,4.76837158203125e-07
1,23,4.540684938430786,0.0003,0.172389417886734,0.19425673286120096,6666348,1,0.1911771297454834,3.664363145828247,0.3085331916809082,7.152557373046875e-07
1,24,4.544095516204834,0.0003,0.18152445554733276,0.21226059397061667,6666348,1,0.2103290557861328,3.6548945903778076,0.3099405765533447,4.76837158203125e-07
1,25,4.617165565490723,0.0003,0.16855888664722443,0.1791264017422994,6702488,1,0.18596744537353516,3.648601770401001,0.3174891471862793,4.76837158203125e-07
1,26,4.507243633270264,0.0003,0.16468111276626587,0.18005705873171488,6748528,1,0.1855335235595703,3.633214235305786,0.3156578540802002,4.76837158203125e-07
1,27,4.514889478683472,0.0003,0.19296883344650267,0.19846180081367493,6748528,1,0.18874001502990723,3.6460676193237305,0.31162309646606445,4.76837158203125e-07
1,28,4.532725811004639,0.0003,0.1780378133058548,0.20612762371699014,6804200,1,0.1840987205505371,3.6589956283569336,0.31842708587646484,7.152557373046875e-07
1,29,4.516771554946899,0.0003,0.17267809808254242,0.19442543387413025,6815668,1,0.18451404571533203,3.647998571395874,0.3137812614440918,4.76837158203125e-07
1,30,4.505982398986816,0.0003,0.16713857054710388,0.19182433684666952,6855880,1,0.18587207794189453,3.637324571609497,0.3135857582092285,4.76837158203125e-07
1,31,4.508785247802734,0.0003,0.15968259871006013,0.18732762336730957,6857912,1,0.18208861351013184,3.6398849487304688,0.31830406188964844,7.152557373046875e-07
1,32,4.539269924163818,0.0003,0.17292512953281403,0.19712338844935098,6869456,1,0.18485569953918457,3.664945125579834,0.3110337257385254,1.1920928955078125e-06
1,33,4.639100790023804,0.0003,0.17907829582691193,0.17414410909016928,6869456,1,0.1856555938720703,3.6739437580108643,0.31577277183532715,4.76837158203125e-07
1,34,4.537445783615112,0.0003,0.18463530540466308,0.18309451142946878,6940404,1,0.18537425994873047,3.6564829349517822,0.3177144527435303,4.76837158203125e-07
1,35,4.521566390991211,0.0003,0.17270066738128662,0.17427467306454977,6951960,1,0.18301796913146973,3.6516387462615967,0.3126652240753174,7.152557373046875e-07
1,36,4.514132499694824,0.0003,0.17268826961517333,0.18431068460146585,6951960,1,0.184739351272583,3.649308204650879,0.31344151496887207,4.76837158203125e-07
1,37,4.52874755859375,0.0003,0.14240634441375732,0.19192802906036377,6951960,1,0.18433928489685059,3.6615240573883057,0.31552934646606445,2.384185791015625e-07
1,38,4.525322914123535,0.0003,0.17766911685466766,0.18332868814468384,6951960,1,0.1825118064880371,3.6512458324432373,0.3126564025878906,7.152557373046875e-07
1,39,4.5356035232543945,0.0003,0.17553482949733734,0.18502620855967203,6951960,1,0.18842697143554688,3.6613073348999023,0.31626105308532715,4.76837158203125e-07
1,40,4.5233259201049805,0.0003,0.16908890902996063,0.17941526571909586,6951960,1,0.1851215362548828,3.660656690597534,0.31047725677490234,2.384185791015625e-07
1,41,4.529294490814209,0.0003,0.1864531308412552,0.194732795159022,6967444,1,0.18680787086486816,3.64874529838562,0.3171069622039795,4.76837158203125e-07
1,42,4.501128911972046,0.0003,0.17306395173072814,0.20556876063346863,6988608,1,0.18145489692687988,3.6391093730926514,0.3110923767089844,4.76837158203125e-07
1,43,4.54425835609436,0.0003,0.15424275398254395,0.1972911755243937,6988608,1,0.18510913848876953,3.6705925464630127,0.31521081924438477,4.76837158203125e-07
1,44,4.626769304275513,0.0003,0.16453683376312256,0.17347559332847595,6988608,1,0.18286609649658203,3.6560826301574707,0.3119943141937256,7.152557373046875e-07
1,45,4.618994474411011,0.0003,0.1562652975320816,0.16840827465057373,6988608,1,0.18623113632202148,3.660804271697998,0.3125462532043457,4.76837158203125e-07
1,46,4.538939476013184,0.0003,0.14834360778331757,0.18477438886960348,6988608,1,0.18750500679016113,3.6637215614318848,0.31593966484069824,4.76837158203125e-07
1,47,4.525440692901611,0.0003,0.1566535323858261,0.18196627497673035,6988608,1,0.185560941696167,3.650909662246704,0.3161046504974365,4.76837158203125e-07
1,48,4.5166709423065186,0.0003,0.1564918726682663,0.1767660677433014,7001596,1,0.18282365798950195,3.6567673683166504,0.31133389472961426,4.76837158203125e-07
1,49,4.537191867828369,0.0003,0.16284329891204835,0.17850971221923828,7062896,1,0.18506813049316406,3.668708324432373,0.311830997467041,2.384185791015625e-07
1,50,4.53338360786438,0.0003,0.15787098109722136,0.1764193375905355,7062896,1,0.1922461986541748,3.6481337547302246,0.31407618522644043,4.76837158203125e-07
1,51,4.506401300430298,0.0003,0.15411848723888397,0.1848046878973643,7062896,1,0.18375086784362793,3.6379168033599854,0.31321239471435547,9.5367431640625e-07
1,52,4.504079818725586,0.0003,0.1753431737422943,0.19797496994336447,7126148,1,0.18373656272888184,3.635016918182373,0.31552672386169434,4.76837158203125e-07
1,53,4.545970439910889,0.0003,0.1671512633562088,0.18717805544535318,7126148,1,0.18317055702209473,3.670050859451294,0.31894350051879883,4.76837158203125e-07
1,54,4.5290207862854,0.0003,0.1579139918088913,0.17934907476107279,7126148,1,0.18732523918151855,3.654289960861206,0.31732964515686035,4.76837158203125e-07
1,55,4.5287840366363525,0.0003,0.15420945584774018,0.19666781028111777,7126148,1,0.18563222885131836,3.6532421112060547,0.31380295753479004,4.76837158203125e-07
1,56,4.528294801712036,0.0003,0.1508895993232727,0.17459298173586527,7126148,1,0.18611812591552734,3.648709774017334,0.3147914409637451,4.76837158203125e-07
1,57,4.609161138534546,0.0003,0.15642405450344085,0.16548419992129007,7126148,1,0.1840977668762207,3.6388063430786133,0.31879615783691406,4.76837158203125e-07
1,58,4.526362895965576,0.0003,0.1666146695613861,0.17754897475242615,7126148,1,0.18409991264343262,3.653400421142578,0.31446051597595215,7.152557373046875e-07
1,59,4.654850244522095,0.0003,0.1715610980987549,0.16422642270723978,7126148,1,0.18671178817749023,3.6780693531036377,0.3111696243286133,7.152557373046875e-07
1,60,4.506997585296631,0.0003,0.16570907831192017,0.1718143125375112,7126148,1,0.18304777145385742,3.6392900943756104,0.3137378692626953,4.76837158203125e-07
1,61,4.516413927078247,0.0003,0.1582145571708679,0.17126407225926718,7131908,1,0.18338799476623535,3.649580240249634,0.31464195251464844,4.76837158203125e-07
